chunk	position	next	reference_nll	candidate_nll	kl	same_top
0	489	352	9.4028e-05	8.74892e-05	1.5106e-06	1
0	490	761	2.51921	2.54205	0.00144606	1
0	491	253	0.989894	0.957704	0.00210773	1
0	492	16204	1.70409	1.7124	0.00260814	1
0	493	3394	2.50216	2.44222	0.00414373	1
0	494	29	0.0458953	0.0500577	0.00033583	1
0	495	48	0.0145846	0.0131866	0.000103292	1
0	496	45608	1.24585	1.0283	0.0164704	0
0	497	1791	0.0168957	0.0184497	0.000161384	1
0	498	335	0.262607	0.274192	0.00139276	1
0	499	260	0.152583	0.153663	0.000520391	1
0	500	8552	0.194862	0.225774	0.00258025	1
0	501	3086	0.0871494	0.0821539	0.000438087	1
0	502	378	0.586896	0.629067	0.00289273	1
0	503	8593	0.115248	0.128068	0.00114839	1
0	504	8544	6.28794	6.50201	0.00163086	1
0	505	384	0.63529	0.639221	0.00118989	1
0	506	18821	5.35496	5.24448	0.00200175	1
0	507	476	4.01129	4.13353	0.00423913	1
0	508	7850	6.88939	6.84186	0.0032021	1
0	509	2860	8.83981	8.94937	0.023229	1
0	510	541	0.816518	0.952025	0.0106033	1
1	256	281	0.821729	0.785	0.00326653	1
1	257	4528	2.87782	2.86236	0.00316585	1
1	258	1673	0.207884	0.22421	0.00196559	1
1	259	909	2.24505	2.24499	0.00203484	1
1	260	436	2.0077	1.9507	0.00201243	1
1	261	9067	5.67137	5.59993	0.00254028	1
1	262	411	0.15293	0.147586	0.00160207	1
1	263	2322	3.31305	3.26263	0.00383229	1
1	264	312	5.02723	5.03228	0.00304737	0
1	265	627	6.14946	6.29784	0.00504938	1
1	266	1111	0.318801	0.354415	0.00560298	1
1	267	284	1.61577	1.43314	0.00663628	1
1	268	4870	3.31472	3.20694	0.0030867	1
1	269	455	0.000761011	0.000782563	4.89002e-06	1
1	270	6719	4.80919	4.76162	0.0010359	1
1	271	5465	6.09923	6.01867	0.00414662	1
1	272	1316	5.28434	5.34849	0.00436461	1
1	273	621	1.68987	1.49349	0.0217203	1
1	274	912	0.427324	0.348041	0.0146137	1
1	275	3297	1.76803	1.83477	0.00227341	1
1	276	1541	6.79092	6.67645	0.00368185	1
1	277	1674	1.11365	1.1597	0.00676139	1
1	278	1777	7.25612	7.20491	0.00785605	1
1	279	15540	7.99778	8.00496	0.00640795	1
1	280	3297	1.78682	1.92685	0.00336782	1
1	281	15688	6.18778	6.22518	0.00233322	1
1	282	11360	7.80545	7.75333	0.00363087	1
1	283	3297	0.978242	1.06305	0.00432004	1
1	284	31426	7.91478	8.0637	0.00222944	1
1	285	14969	8.97665	9.04353	0.00724758	1
1	286	375	1.12738	1.11088	0.00517789	1
1	287	3297	0.727907	0.722173	0.000481328	1
1	288	45223	8.56802	8.57126	0.00222483	1
1	289	37583	9.26182	9.29071	0.00336107	0
1	290	284	0.60477	0.597944	0.000710015	1
1	291	17290	6.47253	6.50662	0.00233043	1
1	292	286	0.153989	0.148539	0.00198688	1
1	293	8501	6.44969	6.48557	0.00442631	1
1	294	1673	0.216197	0.262889	0.00582587	1
1	295	389	1.6957	1.63325	0.00541207	1
1	296	9226	0.00352557	0.00431094	9.65622e-05	1
1	297	352	2.76213e-05	2.13239e-05	1.42782e-06	1
1	298	3656	2.93793	3.00509	0.00408095	1
1	299	253	1.3462	1.38244	0.00283233	1
1	300	15380	9.24021	9.40427	0.00640452	1
1	301	2523	0.251175	0.261234	0.00154697	1
1	302	281	0.513107	0.514076	0.00104011	1
1	303	378	0.610831	0.661995	0.00214632	1
1	304	13001	2.98476	2.9332	0.00157915	1
1	305	31728	0.889751	0.764028	0.0097886	1
1	306	1577	5.86419	5.73317	0.0025061	0
1	307	476	0.584286	0.588059	0.00130224	1
1	308	378	2.26034	2.34519	0.00329216	1
1	309	8947	6.92846	7.05144	0.00500464	1
1	310	314	3.44835	3.8464	0.0197158	1
1	311	443	8.03098	8.10372	0.00326846	1
1	312	2494	7.75332	7.81422	0.00520487	0
1	313	5055	0.160188	0.172281	0.00149525	1
1	314	7902	4.46607	4.51392	0.00308487	0
1	315	3297	1.56108	1.51762	0.00116965	1
1	316	351	2.36839	2.38246	0.00203775	1
1	317	27652	16.2019	15.9572	0.00425161	1
1	318	13171	5.30859	5.49099	0.00788066	1
1	319	429	3.65221	3.66527	0.00296843	1
1	320	5465	5.60085	5.43391	0.00294714	1
